date,year,tempmax_C,tempmin_C,precip_24hrmm,precip_cum_mm,precip_%snow,precip_%rain,snowhn24_cm,snowtotal_cm,HS_cm,SWE_cm,SWE_mm
2012-10-01 09:00:00,2012,26,9,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-02 09:00:00,2012,25,8,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-03 09:00:00,2012,23,6,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-04 09:00:00,2012,20,5,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-05 09:00:00,2012,18,3,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-06 09:00:00,2012,17,1,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-07 09:00:00,2012,18,2,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-08 09:00:00,2012,14,1,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-09 09:00:00,2012,14,0,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-10 09:00:00,2012,16,0,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-11 09:00:00,2012,15,3,0,0,,,0,0.0,0.0,0.0,0.0
2012-10-12 09:00:00,2012,6,0,1,1,,100.0,0,0.0,0.0,0.0,0.0
2012-10-13 09:00:00,2012,17,-1,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-14 09:00:00,2012,19,2,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-15 09:00:00,2012,20,4,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-16 09:00:00,2012,18,6,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-17 09:00:00,2012,22,4,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-18 09:00:00,2012,22,3,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-19 09:00:00,2012,19,3,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-20 09:00:00,2012,14,3,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-21 09:00:00,2012,8,-2,0,1,,,0,0.0,0.0,0.0,0.0
2012-10-22 09:00:00,2012,-1,-3,48,49,100.0,,51,51.0,24.5,2.4,24.0
2012-10-23 09:00:00,2012,1,-2,26,75,100.0,,19,70.0,67.0,6.6,66.0
2012-10-24 09:00:00,2012,1,-1,18,93,100.0,,15.5,85.5,67.0,9.0,90.0
2012-10-25 09:00:00,2012,6,0,2,95,100.0,,5,90.5,66.0,10.2,102.0
2012-10-26 09:00:00,2012,12,-2,0,95,,,0,90.5,56.5,10.5,105.0
2012-10-27 09:00:00,2012,14,2,0,95,,,0,90.5,49.0,,
2012-10-28 09:00:00,2012,16,2,0,95,,,0,90.5,41.5,,
2012-10-29 09:00:00,2012,17,0,0,95,,,0,90.5,34.0,7.9,79.0
2012-10-30 09:00:00,2012,16,-1,0,95,,,0,90.5,29.5,7.4,74.0
2012-10-31 09:00:00,2012,12,1,0,95,,,0,90.5,25.0,6.8,68.0
