Date,Css Lab (428) Air Temperature Average (degC),Css Lab (428) Air Temperature Average QC Flag,Css Lab (428) Air Temperature Maximum (degC),Css Lab (428) Air Temperature Maximum QC Flag,Css Lab (428) Air Temperature Minimum (degC),Css Lab (428) Air Temperature Minimum QC Flag,Css Lab (428) Air Temperature Observed (degC) Start of Day Values,Css Lab (428) Air Temperature Observed QC Flag Start of Day Values,Css Lab (428) Precipitation Accumulation (mm) Start of Day Values,Css Lab (428) Precipitation Accumulation QC Flag Start of Day Values,Css Lab (428) Precipitation Increment (mm),Css Lab (428) Precipitation Increment QC Flag,Css Lab (428) Precipitation Increment - Snow-adj (mm),Css Lab (428) Precipitation Increment - Snow-adj QC Flag,Css Lab (428) Snow Depth (cm) Start of Day Values,Css Lab (428) Snow Depth QC Flag Start of Day Values,Css Lab (428) Snow Water Equivalent (mm) Start of Day Values,Css Lab (428) Snow Water Equivalent QC Flag Start of Day Values,Css Lab (428) Soil Moisture Percent -2in (pct) Start of Day Values,Css Lab (428) Soil Moisture Percent -2in QC Flag Start of Day Values,Css Lab (428) Soil Moisture Percent -8in (pct) Start of Day Values,Css Lab (428) Soil Moisture Percent -8in QC Flag Start of Day Values,Css Lab (428) Soil Moisture Percent -20in (pct) Start of Day Values,Css Lab (428) Soil Moisture Percent -20in QC Flag Start of Day Values,Css Lab (428) Soil Moisture Percent Average -2in (pct),Css Lab (428) Soil Moisture Percent Average -2in QC Flag,Css Lab (428) Soil Moisture Percent Average -8in (pct),Css Lab (428) Soil Moisture Percent Average -8in QC Flag,Css Lab (428) Soil Moisture Percent Average -20in (pct),Css Lab (428) Soil Moisture Percent Average -20in QC Flag,Css Lab (428) Soil Moisture Percent Maximum -2in (pct),Css Lab (428) Soil Moisture Percent Maximum -2in QC Flag,Css Lab (428) Soil Moisture Percent Maximum -8in (pct),Css Lab (428) Soil Moisture Percent Maximum -8in QC Flag,Css Lab (428) Soil Moisture Percent Maximum -20in (pct),Css Lab (428) Soil Moisture Percent Maximum -20in QC Flag,Css Lab (428) Soil Moisture Percent Minimum -2in (pct),Css Lab (428) Soil Moisture Percent Minimum -2in QC Flag,Css Lab (428) Soil Moisture Percent Minimum -8in (pct),Css Lab (428) Soil Moisture Percent Minimum -8in QC Flag,Css Lab (428) Soil Moisture Percent Minimum -20in (pct),Css Lab (428) Soil Moisture Percent Minimum -20in QC Flag,Css Lab (428) Soil Temperature Average -2in (degC),Css Lab (428) Soil Temperature Average -2in QC Flag,Css Lab (428) Soil Temperature Average -8in (degC),Css Lab (428) Soil Temperature Average -8in QC Flag,Css Lab (428) Soil Temperature Average -20in (degC),Css Lab (428) Soil Temperature Average -20in QC Flag,Css Lab (428) Soil Temperature Maximum -2in (degC),Css Lab (428) Soil Temperature Maximum -2in QC Flag,Css Lab (428) Soil Temperature Maximum -8in (degC),Css Lab (428) Soil Temperature Maximum -8in QC Flag,Css Lab (428) Soil Temperature Maximum -20in (degC),Css Lab (428) Soil Temperature Maximum -20in QC Flag,Css Lab (428) Soil Temperature Minimum -2in (degC),Css Lab (428) Soil Temperature Minimum -2in QC Flag,Css Lab (428) Soil Temperature Minimum -8in (degC),Css Lab (428) Soil Temperature Minimum -8in QC Flag,Css Lab (428) Soil Temperature Minimum -20in (degC),Css Lab (428) Soil Temperature Minimum -20in QC Flag,Css Lab (428) Soil Temperature Observed -2in (degC) Start of Day Values,Css Lab (428) Soil Temperature Observed -2in QC Flag Start of Day Values,Css Lab (428) Soil Temperature Observed -8in (degC) Start of Day Values,Css Lab (428) Soil Temperature Observed -8in QC Flag Start of Day Values,Css Lab (428) Soil Temperature Observed -20in (degC) Start of Day Values,Css Lab (428) Soil Temperature Observed -20in QC Flag Start of Day Values,Css Lab (428) Snow Density (pct) Start of Day Values,Css Lab (428) Snow Density QC Flag Start of Day Values,Css Lab (428) Snow Rain Ratio (unitless),Css Lab (428) Snow Rain Ratio QC Flag
2007-10-01,5.0,V,10.7,V,1.2,V,7.1,V,0,V,0,E,0,E,0,E,0,V,0.0,V,3.6,V,3.0,V,0.0,V,3.3,V,2.9,V,0.0,V,3.9,V,3.1,V,0.0,V,2.5,V,2.6,V,9.9,V,11.7,V,12.8,V,13.3,V,12.3,V,12.9,V,8.0,V,11.3,V,12.8,V,11.0,V,12.3,V,12.9,V,,,,
2007-10-02,9.2,V,16.9,V,0.3,V,4.2,V,0,E,0,E,0,E,0,E,0,E,0.0,V,3.8,V,3.0,V,0.0,V,2.7,V,2.9,V,0.0,V,3.8,V,3.3,V,0.0,V,1.5,V,2.5,V,11.2,V,11.1,V,12.6,V,19.8,V,12.0,V,12.8,V,5.2,V,10.4,V,12.5,V,7.7,V,11.5,V,12.8,V,,,,
2007-10-03,8.8,V,14.0,V,4.9,V,8.1,V,0,E,0,E,0,E,0,E,0,E,0.0,V,2.6,V,2.9,V,0.0,V,2.0,V,2.9,V,0.0,V,2.7,V,3.2,V,0.0,V,1.3,V,2.6,V,12.9,V,11.9,V,12.5,V,20.0,V,12.6,V,12.5,V,8.3,V,11.3,V,12.5,V,11.3,V,12.0,V,12.5,V,,,,
2007-10-04,3.6,V,7.9,V,-1.4,V,5.6,V,0,E,15,E,15,E,0,V,0,E,0.0,V,1.4,V,2.9,V,0.0,V,1.4,E,2.9,V,0.0,V,2.5,V,3.1,V,0.0,V,0.7,V,2.7,V,10.7,V,11.9,V,12.5,V,15.0,V,12.5,V,12.5,V,8.1,V,11.5,V,12.4,V,11.3,V,12.5,V,12.4,V,,,67.0,E
2007-10-05,-1.1,V,3.1,V,-3.6,V,-1.4,V,15,V,23,E,23,E,5,E,10,V,0.0,V,1.4,V,3.0,V,0.0,V,5.3,V,2.9,V,0.0,V,14.5,V,3.3,V,0.0,V,0.4,V,2.6,V,6.3,V,10.1,V,12.4,V,8.2,V,11.6,V,12.5,V,4.7,V,8.4,V,12.2,V,8.2,V,11.6,V,12.5,V,,,0.0,E
2007-10-06,1.6,V,8.2,V,-4.0,V,-3.5,V,38,E,0,E,0,E,3,V,5,V,0.0,V,13.6,V,2.6,V,0.0,V,12.6,V,2.9,V,0.0,V,13.6,V,3.3,V,0.0,V,11.9,V,2.3,V,7.0,V,8.3,V,11.9,V,14.4,V,9.0,V,12.2,V,2.9,V,7.9,V,11.6,V,4.5,V,8.4,V,12.2,V,,,,
2007-10-07,6.5,V,15.3,V,0.7,V,3.3,V,38,E,0,E,0,E,3,E,5,V,0.0,V,12.4,V,3.0,V,0.0,V,11.2,V,2.9,V,0.0,V,12.4,V,3.4,V,0.0,V,10.0,V,2.3,V,9.7,V,8.9,V,11.4,V,18.8,V,10.1,V,11.6,V,3.9,V,8.3,V,11.3,V,6.2,V,9.0,V,11.6,V,,,,
2007-10-08,7.5,V,16.7,V,0.4,V,1.6,V,38,E,0,E,0,E,0,V,3,V,0.0,V,10.6,V,2.8,V,0.0,V,9.7,V,2.8,V,0.0,V,10.6,V,3.1,V,0.0,V,8.6,V,2.5,V,11.2,V,10.0,V,11.3,V,19.6,V,10.9,V,11.3,V,5.4,V,9.4,V,11.2,V,9.0,V,10.1,V,11.3,V,,,,
2007-10-09,7.2,V,13.4,V,0.6,V,4.1,V,38,V,0,V,0,V,0,E,0,V,0.0,V,8.7,V,2.9,V,0.0,V,8.4,V,2.9,V,0.0,V,9.2,V,3.1,V,0.0,V,7.6,V,2.5,V,11.2,V,10.6,V,11.3,V,17.9,V,11.1,V,11.3,V,6.4,V,10.1,V,11.2,V,10.0,V,10.9,V,11.3,V,,,,
2007-10-10,2.0,V,7.0,V,-0.3,V,5.1,V,38,V,28,E,28,E,0,V,0,E,0.0,V,7.4,V,2.8,V,0.0,V,11.8,V,3.6,V,0.0,V,20.3,V,9.3,V,0.0,V,7.2,V,2.6,V,6.8,V,9.5,V,11.2,V,10.0,V,11.1,V,11.3,V,4.4,V,7.2,V,11.0,V,10.0,V,11.1,V,11.3,V,,,55.0,E
